,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,ZEC-USD,0.13744007761361876,13.0
1,UMA-USD,AAVE-USD,0.03293588199534471,15.0
2,UMA-USD,XTZ-USD,3.0761419175551503,11.0
3,UMA-USD,LINK-USD,0.2170864302080433,3.0
4,UMA-USD,ALGO-USD,15.91985574872061,10.0
5,UMA-USD,CELO-USD,3.430424082327531,7.0
6,UMA-USD,1INCH-USD,7.056274615133017,9.0
7,SOL-USD,UNI-USD,15.478720196436607,3.0
8,ZEC-USD,AAVE-USD,0.2395695311470995,6.0
9,ZEC-USD,LINK-USD,1.5792428704689305,1.0
10,ZEC-USD,YFI-USD,0.0033420226952767798,7.0
11,ZEC-USD,RUNE-USD,3.470912569963217,13.0
12,ZEC-USD,ALGO-USD,115.72279819739018,15.0
13,ZEC-USD,CRV-USD,43.94754551868382,5.0
14,ZEC-USD,DOT-USD,3.192387775461828,5.0
15,ZEC-USD,ADA-USD,46.690111364187025,6.0
16,ZEC-USD,ENJ-USD,60.631198393101606,15.0
17,ZEC-USD,AVAX-USD,0.5562854717880037,17.0
18,ZEC-USD,SNX-USD,6.537371407411358,13.0
19,ZEC-USD,UNI-USD,2.4403247814186657,2.0
20,ZEC-USD,ATOM-USD,2.4942775717611227,5.0
21,AAVE-USD,YFI-USD,0.013946282548143132,10.0
22,AAVE-USD,RUNE-USD,14.47930316163822,21.0
23,AAVE-USD,COMP-USD,1.6357202539999147,11.0
24,AAVE-USD,ALGO-USD,482.89112952419646,15.0
25,AAVE-USD,FIL-USD,13.487891947478543,8.0
26,AAVE-USD,MATIC-USD,125.4386546533168,11.0
27,AAVE-USD,CRV-USD,183.37259648451106,9.0
28,AAVE-USD,DOT-USD,13.321124891012607,7.0
29,AAVE-USD,CELO-USD,104.0064205789607,17.0
30,AAVE-USD,1INCH-USD,214.1211812088677,8.0
31,AAVE-USD,ADA-USD,194.82132480993818,8.0
32,AAVE-USD,ENJ-USD,252.94538985589645,22.0
33,AAVE-USD,SUSHI-USD,70.68233522522655,14.0
34,AAVE-USD,AVAX-USD,2.320904109598575,21.0
35,AAVE-USD,SNX-USD,27.278201454558392,16.0
36,AAVE-USD,UNI-USD,10.185321550398502,2.0
37,AAVE-USD,XLM-USD,914.7150694346658,8.0
38,AAVE-USD,ATOM-USD,10.407978826426802,7.0
39,XTZ-USD,LINK-USD,0.07055501959445529,2.0
40,XTZ-USD,COMP-USD,0.01751955465489269,8.0
41,XTZ-USD,1INCH-USD,2.293249195757331,7.0
42,XTZ-USD,UNI-USD,0.10905778400970212,2.0
43,XTZ-USD,XLM-USD,9.795169308139739,12.0
44,XTZ-USD,EOS-USD,1.2715856262494858,9.0
45,XTZ-USD,ATOM-USD,0.11145406990150845,12.0
46,LINK-USD,RUNE-USD,2.1953274597704198,4.0
47,LINK-USD,MKR-USD,0.005242108635967605,14.0
48,LINK-USD,ALGO-USD,73.22411212528357,2.0
49,LINK-USD,FIL-USD,2.044820754951335,2.0
50,LINK-USD,TRX-USD,154.85953493072833,2.0
51,LINK-USD,CRV-USD,27.803788607573125,2.0
52,LINK-USD,DOT-USD,2.019715262508095,1.0
53,LINK-USD,CELO-USD,15.769217846155646,3.0
54,LINK-USD,1INCH-USD,32.46517039412188,1.0
55,LINK-USD,ADA-USD,29.539720177969457,1.0
56,LINK-USD,ENJ-USD,38.3463820353316,3.0
57,LINK-USD,ZRX-USD,21.357067097966265,19.0
58,LINK-USD,SUSHI-USD,10.714709022808739,2.0
59,LINK-USD,AVAX-USD,0.3518788941649187,4.0
60,LINK-USD,SNX-USD,4.136058732525505,3.0
61,LINK-USD,UNI-USD,1.5449602703167473,2.0
62,LINK-USD,XLM-USD,138.68954219759706,1.0
63,LINK-USD,EOS-USD,17.99964521143727,2.0
64,LINK-USD,ATOM-USD,1.578076207497505,1.0
65,LINK-USD,LTC-USD,0.1927465587166034,9.0
66,YFI-USD,CRV-USD,13144.97891586778,11.0
67,YFI-USD,DOT-USD,954.9481809883213,8.0
68,YFI-USD,ADA-USD,13966.673283009983,9.0
69,YFI-USD,ENJ-USD,18137.810257315155,19.0
70,YFI-USD,AVAX-USD,166.42563672207285,20.0
71,RUNE-USD,ALGO-USD,33.290162532626624,15.0
72,RUNE-USD,MATIC-USD,8.649502203279846,18.0
73,RUNE-USD,CRV-USD,12.642438765227592,15.0
74,RUNE-USD,ADA-USD,13.430871122397846,18.0
75,RUNE-USD,ENJ-USD,17.45515207783751,10.0
76,RUNE-USD,SNX-USD,1.881785539253878,9.0
77,RUNE-USD,UNI-USD,0.7018105085288642,3.0
78,DOGE-USD,UNI-USD,0.015420218141734391,6.0
79,MKR-USD,LTC-USD,36.664683037509015,19.0
80,COMP-USD,FIL-USD,8.242713138731428,8.0
81,COMP-USD,TRX-USD,624.0766306560273,23.0
82,COMP-USD,CELO-USD,63.57689765813409,16.0
83,COMP-USD,1INCH-USD,130.85521411446587,8.0
84,COMP-USD,XLM-USD,558.9310396741557,13.0
85,COMP-USD,EOS-USD,72.55772142945361,11.0
86,ALGO-USD,DOT-USD,0.0275553957023173,19.0
87,ALGO-USD,SNX-USD,0.056488752350191046,8.0
88,ALGO-USD,UNI-USD,0.021073028363415333,2.0
89,FIL-USD,TRX-USD,75.66890973571489,21.0
90,FIL-USD,1INCH-USD,15.870960425652612,5.0
91,FIL-USD,SUSHI-USD,5.239516519457638,8.0
92,FIL-USD,UNI-USD,0.7547789070435095,2.0
93,MATIC-USD,AVAX-USD,0.018511017580318166,14.0
94,TRX-USD,UNI-USD,0.009958081670160525,3.0
95,TRX-USD,ETH-USD,3.46172705368228e-05,2.0
96,CRV-USD,DOT-USD,0.07262725401071393,6.0
97,CRV-USD,ADA-USD,1.0622687535284303,4.0
98,CRV-USD,SNX-USD,0.14875222323211568,14.0
99,CRV-USD,UNI-USD,0.05552035443603002,2.0
100,DOT-USD,ADA-USD,14.624416563146564,4.0
101,DOT-USD,SNX-USD,2.0474555366983607,14.0
102,DOT-USD,UNI-USD,0.7643012614529473,2.0
103,1INCH-USD,UNI-USD,0.04754971097384253,2.0
104,1INCH-USD,XLM-USD,4.270492403952792,9.0
105,ADA-USD,SNX-USD,0.13998782640386043,16.0
106,ADA-USD,UNI-USD,0.05225699446990868,2.0
107,ENJ-USD,AVAX-USD,0.00917105310978215,10.0
108,ENJ-USD,UNI-USD,0.040170087963843554,3.0
109,SUSHI-USD,UNI-USD,0.14403753472252223,2.0
110,AVAX-USD,UNI-USD,4.378338699729442,3.0
111,SNX-USD,UNI-USD,0.3728332169535956,2.0
112,UNI-USD,XLM-USD,89.63061296334237,2.0
113,UNI-USD,EOS-USD,11.63510347407135,2.0
114,UNI-USD,ATOM-USD,1.0199473281992897,2.0
115,UNI-USD,LTC-USD,0.12452037831195578,7.0
116,ETH-USD,XLM-USD,25692.98822848835,2.0
117,ETH-USD,EOS-USD,3334.6016170728053,2.0
118,ETH-USD,ATOM-USD,292.2639335663125,2.0
119,ETH-USD,LTC-USD,35.732421272798675,4.0
120,XLM-USD,EOS-USD,0.12979657024997465,7.0
